steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
5000	24	1.7792987823486328	-1463.7999769030882	-1477.8155532862968	47.17289087163518	-1398.5825969106374	-1536.9789041710367	nan	nan	nan	nan	0	nan	1.0
10000	48	3.7628531455993652	-1426.8605949731868	-1453.756431003028	84.05060747064422	-1258.1375012454569	-1516.3408280135	0.29865357	-0.09816466	26.6760196685791	24.09283447265625	1	0.52639645	0.9997000694274902
15000	72	86.01620030403137	-192.4877369119613	-179.1447041399488	82.79888780445451	-116.0801676590445	-362.37953139877163	-97.46404	-97.43732	0.5181690767407418	0.6268751433491707	5001	-0.57873344	0.39446067810058594
20000	100	196.2955322265625	-141.7171169513714	-122.33605194079735	105.75052318191126	-0.5752778269279808	-342.0578407894189	-88.94381	-88.89222	0.9324317789077758	1.3505427098274232	10001	-0.890724	0.27430692315101624
25000	124	280.22857761383057	-178.1165145468812	-174.29779392733892	100.17993659431387	-0.2286919450885443	-361.9045199725694	-72.12131	-72.06211	0.6565008610486984	0.9309148442745209	15001	-1.0257726	0.14924350380897522
30000	148	378.11807560920715	-177.00980059201166	-124.32805818508211	77.5275458562807	-115.78492565408297	-324.03786329871696	-60.113323	-60.154648	0.5391390338540077	0.7704260838031769	20001	-1.005185	0.08318589627742767
35000	172	468.5560612678528	-96.51954578510335	-117.31613882761212	50.699388723943954	-0.2574948262656154	-126.57892609140822	-54.690258	-54.65468	0.5439056053757667	0.6818474033474922	25001	-0.9227312	0.05052666366100311
40000	200	552.8892612457275	-84.49839494930414	-118.39205120159909	57.82702943480956	-0.15063342168448443	-125.48508720231142	-50.15765	-50.199657	0.4598593306541443	0.5643750320374966	30001	-0.90585256	0.04392635449767113
45000	224	645.7214078903198	-127.4352297971175	-114.24367623497392	86.07566925200715	-0.1006057465531222	-238.1304693600276	-46.213726	-46.218563	0.41436350643634795	0.46381334215402603	35001	-0.9033591	0.03699823468923569
50000	248	740.2923400402069	-129.71992775139628	-120.283033655732	101.67102080568905	-0.017817393701082616	-352.3086115000533	-45.400757	-45.411694	0.4155536778271198	0.4593145048618317	40001	-1.1888047	0.031429387629032135
55000	272	825.5833497047424	-133.8717600046932	-126.30882080978886	66.44061442277568	-0.7968741223228704	-244.20087691694704	-41.985165	-42.032257	0.36966238960623743	0.43552970319986345	45001	-1.0393943	0.025231579318642616
60000	300	952.4402546882629	-120.9752871479458	-123.8891925188909	55.17341214414238	-1.1315229693313476	-233.80774427689283	-36.332195	-36.319954	0.39373250633478163	0.40313652887940404	50001	-0.83221865	0.023101074621081352
65000	324	1041.2990787029266	-177.4305286128026	-173.80460840051285	59.821529746776854	-118.71115735603931	-243.9944884012983	-34.882446	-34.878468	0.3333608940243721	0.32547319009900094	55001	-1.0107161	0.02298091910779476
70000	348	1133.2414510250092	-133.2881876347094	-125.60012713178166	65.06434642006904	-1.1251807577125656	-240.92372235309685	-31.47375	-31.483328	0.2923689668625593	0.3043097141385078	60001	-0.942579	0.022350162267684937
75000	372	1237.4739968776703	-157.21352886331246	-126.62032826827642	78.4794853489224	-1.195711908241175	-243.19553573663646	-35.825935	-35.791267	0.30717440113425254	0.3678103932738304	65001	-0.94339406	0.01800534687936306
80000	400	1319.6934442520142	-149.5110175983235	-120.23812195049773	87.2638282113114	-1.633934902427644	-315.9388819650891	-32.44403	-32.439278	0.314700827896595	0.32873313412070276	70001	-1.0340699	0.016355544328689575
